Dataset:  Cora
Experiment  152  summary: mean test accuracy:0.6853

Experiment  153 run  1 , total time: 2.365 learning rate: 0.0085, smoothing factor: 0.2, test accuracy: 0.686
Experiment  153 run  2 , total time: 2.315 learning rate: 0.0085, smoothing factor: 0.2, test accuracy: 0.738
Experiment  153 run  3 , total time: 2.329 learning rate: 0.0085, smoothing factor: 0.2, test accuracy: 0.706
Experiment  153  summary: mean test accuracy:0.71

Experiment  154 run  1 , total time: 2.277 learning rate: 0.0085, smoothing factor: 0.3, test accuracy: 0.668
Experiment  154 run  2 , total time: 2.399 learning rate: 0.0085, smoothing factor: 0.3, test accuracy: 0.729
Experiment  154 run  3 , total time: 2.324 learning rate: 0.0085, smoothing factor: 0.3, test accuracy: 0.653
Experiment  154  summary: mean test accuracy:0.6833

Experiment  155 run  1 , total time: 2.361 learning rate: 0.0085, smoothing factor: 0.4, test accuracy: 0.709
Experiment  155 run  2 , total time: 2.339 learning rate: 0.0085, smoothing factor: 0.4, test accuracy: 0.757
Experiment  155 run  3 , total time: 2.291 learning rate: 0.0085, smoothing factor: 0.4, test accuracy: 0.708
Experiment  155  summary: mean test accuracy:0.7247

Experiment  156 run  1 , total time: 2.308 learning rate: 0.0085, smoothing factor: 0.5, test accuracy: 0.775
Experiment  156 run  2 , total time: 2.26 learning rate: 0.0085, smoothing factor: 0.5, test accuracy: 0.71
Experiment  156 run  3 , total time: 2.325 learning rate: 0.0085, smoothing factor: 0.5, test accuracy: 0.687
Experiment  156  summary: mean test accuracy:0.724

Experiment  157 run  1 , total time: 2.273 learning rate: 0.0085, smoothing factor: 0.6, test accuracy: 0.738
Experiment  157 run  2 , total time: 2.31 learning rate: 0.0085, smoothing factor: 0.6, test accuracy: 0.752
Experiment  157 run  3 , total time: 2.275 learning rate: 0.0085, smoothing factor: 0.6, test accuracy: 0.758
Experiment  157  summary: mean test accuracy:0.7493

Experiment  158 run  1 , total time: 2.333 learning rate: 0.0085, smoothing factor: 0.7, test accuracy: 0.746
Experiment  158 run  2 , total time: 2.361 learning rate: 0.0085, smoothing factor: 0.7, test accuracy: 0.759
Experiment  158 run  3 , total time: 2.919 learning rate: 0.0085, smoothing factor: 0.7, test accuracy: 0.764
Experiment  158  summary: mean test accuracy:0.7563

Experiment  159 run  1 , total time: 2.523 learning rate: 0.0085, smoothing factor: 0.8, test accuracy: 0.775
Experiment  159 run  2 , total time: 2.935 learning rate: 0.0085, smoothing factor: 0.8, test accuracy: 0.756
Experiment  159 run  3 , total time: 3.246 learning rate: 0.0085, smoothing factor: 0.8, test accuracy: 0.767
Experiment  159  summary: mean test accuracy:0.766

Experiment  160 run  1 , total time: 2.534 learning rate: 0.0085, smoothing factor: 0.9, test accuracy: 0.736
Experiment  160 run  2 , total time: 2.49 learning rate: 0.0085, smoothing factor: 0.9, test accuracy: 0.744
Experiment  160 run  3 , total time: 2.808 learning rate: 0.0085, smoothing factor: 0.9, test accuracy: 0.713
Experiment  160  summary: mean test accuracy:0.731

Experiment  161 run  1 , total time: 2.752 learning rate: 0.009, smoothing factor: 0.0, test accuracy: 0.658
Experiment  161 run  2 , total time: 2.729 learning rate: 0.009, smoothing factor: 0.0, test accuracy: 0.74
Experiment  161 run  3 , total time: 2.959 learning rate: 0.009, smoothing factor: 0.0, test accuracy: 0.726
Experiment  161  summary: mean test accuracy:0.708

Experiment  162 run  1 , total time: 2.82 learning rate: 0.009, smoothing factor: 0.1, test accuracy: 0.658
Experiment  162 run  2 , total time: 2.977 learning rate: 0.009, smoothing factor: 0.1, test accuracy: 0.632
Experiment  162 run  3 , total time: 2.677 learning rate: 0.009, smoothing factor: 0.1, test accuracy: 0.737
Experiment  162  summary: mean test accuracy:0.6757

Experiment  163 run  1 , total time: 3.054 learning rate: 0.009, smoothing factor: 0.2, test accuracy: 0.713
Experiment  163 run  2 , total time: 2.436 learning rate: 0.009, smoothing factor: 0.2, test accuracy: 0.772
Experiment  163 run  3 , total time: 2.517 learning rate: 0.009, smoothing factor: 0.2, test accuracy: 0.693
Experiment  163  summary: mean test accuracy:0.726

Experiment  164 run  1 , total time: 2.323 learning rate: 0.009, smoothing factor: 0.3, test accuracy: 0.653
Experiment  164 run  2 , total time: 2.324 learning rate: 0.009, smoothing factor: 0.3, test accuracy: 0.667
Experiment  164 run  3 , total time: 2.317 learning rate: 0.009, smoothing factor: 0.3, test accuracy: 0.722
Experiment  164  summary: mean test accuracy:0.6807

Experiment  165 run  1 , total time: 2.28 learning rate: 0.009, smoothing factor: 0.4, test accuracy: 0.677
Experiment  165 run  2 , total time: 2.276 learning rate: 0.009, smoothing factor: 0.4, test accuracy: 0.706
Experiment  165 run  3 , total time: 2.341 learning rate: 0.009, smoothing factor: 0.4, test accuracy: 0.705
Experiment  165  summary: mean test accuracy:0.696

Experiment  166 run  1 , total time: 2.288 learning rate: 0.009, smoothing factor: 0.5, test accuracy: 0.715
Experiment  166 run  2 , total time: 2.332 learning rate: 0.009, smoothing factor: 0.5, test accuracy: 0.72
Experiment  166 run  3 , total time: 2.271 learning rate: 0.009, smoothing factor: 0.5, test accuracy: 0.729
Experiment  166  summary: mean test accuracy:0.7213

Experiment  167 run  1 , total time: 2.313 learning rate: 0.009, smoothing factor: 0.6, test accuracy: 0.746
Experiment  167 run  2 , total time: 2.298 learning rate: 0.009, smoothing factor: 0.6, test accuracy: 0.784
Experiment  167 run  3 , total time: 2.304 learning rate: 0.009, smoothing factor: 0.6, test accuracy: 0.71
Experiment  167  summary: mean test accuracy:0.7467

Experiment  168 run  1 , total time: 2.261 learning rate: 0.009, smoothing factor: 0.7, test accuracy: 0.718
Experiment  168 run  2 , total time: 2.3 learning rate: 0.009, smoothing factor: 0.7, test accuracy: 0.725
Experiment  168 run  3 , total time: 2.32 learning rate: 0.009, smoothing factor: 0.7, test accuracy: 0.758
Experiment  168  summary: mean test accuracy:0.7337

Experiment  169 run  1 , total time: 2.302 learning rate: 0.009, smoothing factor: 0.8, test accuracy: 0.762
Experiment  169 run  2 , total time: 2.293 learning rate: 0.009, smoothing factor: 0.8, test accuracy: 0.753
Experiment  169 run  3 , total time: 2.276 learning rate: 0.009, smoothing factor: 0.8, test accuracy: 0.735
Experiment  169  summary: mean test accuracy:0.75

Experiment  170 run  1 , total time: 2.344 learning rate: 0.009, smoothing factor: 0.9, test accuracy: 0.746
Experiment  170 run  2 , total time: 2.305 learning rate: 0.009, smoothing factor: 0.9, test accuracy: 0.746
Experiment  170 run  3 , total time: 2.392 learning rate: 0.009, smoothing factor: 0.9, test accuracy: 0.743
Experiment  170  summary: mean test accuracy:0.745

Experiment  171 run  1 , total time: 2.279 learning rate: 0.0095, smoothing factor: 0.0, test accuracy: 0.601
Experiment  171 run  2 , total time: 2.347 learning rate: 0.0095, smoothing factor: 0.0, test accuracy: 0.504
Experiment  171 run  3 , total time: 2.313 learning rate: 0.0095, smoothing factor: 0.0, test accuracy: 0.573
Experiment  171  summary: mean test accuracy:0.5593

Experiment  172 run  1 , total time: 2.487 learning rate: 0.0095, smoothing factor: 0.1, test accuracy: 0.663
Experiment  172 run  2 , total time: 2.276 learning rate: 0.0095, smoothing factor: 0.1, test accuracy: 0.668
Experiment  172 run  3 , total time: 2.366 learning rate: 0.0095, smoothing factor: 0.1, test accuracy: 0.673
Experiment  172  summary: mean test accuracy:0.668

Experiment  173 run  1 , total time: 2.355 learning rate: 0.0095, smoothing factor: 0.2, test accuracy: 0.716
Experiment  173 run  2 , total time: 2.318 learning rate: 0.0095, smoothing factor: 0.2, test accuracy: 0.604
Experiment  173 run  3 , total time: 2.341 learning rate: 0.0095, smoothing factor: 0.2, test accuracy: 0.739
Experiment  173  summary: mean test accuracy:0.6863

Experiment  174 run  1 , total time: 2.296 learning rate: 0.0095, smoothing factor: 0.3, test accuracy: 0.633
Experiment  174 run  2 , total time: 2.356 learning rate: 0.0095, smoothing factor: 0.3, test accuracy: 0.669
Experiment  174 run  3 , total time: 2.319 learning rate: 0.0095, smoothing factor: 0.3, test accuracy: 0.731
Experiment  174  summary: mean test accuracy:0.6777

Experiment  175 run  1 , total time: 2.328 learning rate: 0.0095, smoothing factor: 0.4, test accuracy: 0.754
Experiment  175 run  2 , total time: 2.31 learning rate: 0.0095, smoothing factor: 0.4, test accuracy: 0.656
Experiment  175 run  3 , total time: 2.345 learning rate: 0.0095, smoothing factor: 0.4, test accuracy: 0.665
Experiment  175  summary: mean test accuracy:0.6917

Experiment  176 run  1 , total time: 2.348 learning rate: 0.0095, smoothing factor: 0.5, test accuracy: 0.696
Experiment  176 run  2 , total time: 2.283 learning rate: 0.0095, smoothing factor: 0.5, test accuracy: 0.732
Experiment  176 run  3 , total time: 2.305 learning rate: 0.0095, smoothing factor: 0.5, test accuracy: 0.76
Experiment  176  summary: mean test accuracy:0.7293

Experiment  177 run  1 , total time: 2.337 learning rate: 0.0095, smoothing factor: 0.6, test accuracy: 0.755
Experiment  177 run  2 , total time: 2.443 learning rate: 0.0095, smoothing factor: 0.6, test accuracy: 0.699
Experiment  177 run  3 , total time: 2.339 learning rate: 0.0095, smoothing factor: 0.6, test accuracy: 0.748
Experiment  177  summary: mean test accuracy:0.734

Experiment  178 run  1 , total time: 2.308 learning rate: 0.0095, smoothing factor: 0.7, test accuracy: 0.747
Experiment  178 run  2 , total time: 2.351 learning rate: 0.0095, smoothing factor: 0.7, test accuracy: 0.721
Experiment  178 run  3 , total time: 2.395 learning rate: 0.0095, smoothing factor: 0.7, test accuracy: 0.769
Experiment  178  summary: mean test accuracy:0.7457

Experiment  179 run  1 , total time: 2.367 learning rate: 0.0095, smoothing factor: 0.8, test accuracy: 0.77
Experiment  179 run  2 , total time: 2.307 learning rate: 0.0095, smoothing factor: 0.8, test accuracy: 0.752
Experiment  179 run  3 , total time: 2.367 learning rate: 0.0095, smoothing factor: 0.8, test accuracy: 0.756
Experiment  179  summary: mean test accuracy:0.7593

Experiment  180 run  1 , total time: 2.362 learning rate: 0.0095, smoothing factor: 0.9, test accuracy: 0.738
Experiment  180 run  2 , total time: 2.298 learning rate: 0.0095, smoothing factor: 0.9, test accuracy: 0.753
Experiment  180 run  3 , total time: 2.252 learning rate: 0.0095, smoothing factor: 0.9, test accuracy: 0.735
Experiment  180  summary: mean test accuracy:0.742

Summary:
Best test accuracy: 0.766  . Hyperparameters: learning rate: 0.0085  , smoothing factor: 0.8

